MeetinDate,MeetingVenue,RaceNo,PoolText,WinCombination,DividendAmount
2018-03-03,ST,1,Win,4,120.5000
2018-03-03,ST,1,Place,4,37.0000
2018-03-03,ST,1,Place,2,12.5000
2018-03-03,ST,1,Place,13,35.0000
2018-03-03,ST,1,Quinella,"2, 4",141.5000
2018-03-03,ST,1,Quinella Place,"2, 4",56.0000
2018-03-03,ST,1,Quinella Place,"4, 13",238.0000
2018-03-03,ST,1,Quinella Place,"2, 13",67.5000
2018-03-03,ST,1,3 Pick 1,"2, 6",0.0000
2018-03-03,ST,1,3 Pick 1,"4, 7, 10",37.5000
2018-03-03,ST,1,3 Pick 1,"1, 3, 5, 8, 9, 11, 12, 13, 14",0.0000
2018-03-03,ST,1,Tierce,"4, 2, 13",5184.0000
2018-03-03,ST,1,Trio,"2, 4, 13",608.0000
2018-03-03,ST,1,First 4,"2, 4, 9, 13",989.0000
2018-03-03,ST,1,Quartet,"4, 2, 13, 9",30336.0000
2018-03-03,ST,2,Win,3,825.5000
2018-03-03,ST,2,Place,3,275.0000
2018-03-03,ST,2,Place,5,30.0000
2018-03-03,ST,2,Place,9,31.5000
2018-03-03,ST,2,Quinella,"3, 5",3637.5000
2018-03-03,ST,2,Quinella Place,"3, 5",870.0000
2018-03-03,ST,2,Quinella Place,"3, 9",1269.0000
2018-03-03,ST,2,Quinella Place,"5, 9",144.0000
2018-03-03,ST,2,3 Pick 1,"1, 13",0.0000
2018-03-03,ST,2,3 Pick 1,"2, 9, 12",0.0000
2018-03-03,ST,2,3 Pick 1,"3, 4, 5, 6, 7, 8, 10, 11, 14",19.5000
2018-03-03,ST,2,Tierce,"3, 5, 9",95473.0000
2018-03-03,ST,2,Trio,"3, 5, 9",12613.0000
2018-03-03,ST,2,First 4,"3, 5, 9, 12",28119.0000
2018-03-03,ST,2,Quartet,"3, 5, 9, 12",980918.0000
2018-03-03,ST,2,1st Double,4/3,8893.5000
2018-03-03,ST,2,1st Double (Consolation),4/5,119.0000
2018-03-03,ST,3,Win,2,14.0000
2018-03-03,ST,3,Place,2,11.5000
2018-03-03,ST,3,Place,5,15.0000
2018-03-03,ST,3,Place,7,23.5000
2018-03-03,ST,3,Quinella,"2, 5",44.5000
2018-03-03,ST,3,Quinella Place,"2, 5",19.5000
2018-03-03,ST,3,Quinella Place,"2, 7",30.5000
2018-03-03,ST,3,Quinella Place,"5, 7",71.0000
2018-03-03,ST,3,3 Pick 1,2,14.0000
2018-03-03,ST,3,3 Pick 1,"1, 3, 5",0.0000
2018-03-03,ST,3,3 Pick 1,"4, 6, 7",0.0000
2018-03-03,ST,3,Tierce,"2, 5, 7",305.0000
2018-03-03,ST,3,Trio,"2, 5, 7",116.0000
2018-03-03,ST,3,First 4,"1, 2, 5, 7",100.0000
2018-03-03,ST,3,Quartet,"2, 5, 7, 1",1091.0000
2018-03-03,ST,3,2nd Double,3/2,831.5000
2018-03-03,ST,3,2nd Double (Consolation),3/5,1264.5000
2018-03-03,ST,4,Win,2,81.0000
2018-03-03,ST,4,Place,2,28.0000
2018-03-03,ST,4,Place,8,14.5000
2018-03-03,ST,4,Place,3,27.0000
2018-03-03,ST,4,Quinella,"2, 8",135.0000
2018-03-03,ST,4,Quinella Place,"2, 8",53.0000
2018-03-03,ST,4,Quinella Place,"2, 3",165.5000
2018-03-03,ST,4,Quinella Place,"3, 8",61.0000
2018-03-03,ST,4,3 Pick 1,"1, 9",0.0000
2018-03-03,ST,4,3 Pick 1,"2, 8, 11",19.5000
2018-03-03,ST,4,3 Pick 1,"3, 4, 5, 6, 7, 10, 12",0.0000
2018-03-03,ST,4,Tierce,"2, 8, 3",3303.0000
2018-03-03,ST,4,Trio,"2, 3, 8",437.0000
2018-03-03,ST,4,First 4,"1, 2, 3, 8",343.0000
2018-03-03,ST,4,Quartet,"2, 8, 3, 1",12031.0000
2018-03-03,ST,4,3rd Double,2/2,116.5000
2018-03-03,ST,4,3rd Double (Consolation),2/8,10.5000
