MeetingDate,MeetingVenue,RaceNo,Distance,Comment,LastSixRecords,LastSixRunTxt,Draw,Ability,Condition,ClassChange,RunningStyleAll,Age,HorseWeight,LastHorseWeight,BodyWeight,HorseCode,JockeyCode,TrainerCode,WeightCarried,IdealDistance,DistanceTotalRuns,DistanceFirst,DistanceSecond,DistanceThird,LifeTotalRuns,LifeFirst,LifeSecond,LifeThird,HorseNo
2018-01-28,ST,1,1400,Has decent form over this trip. Finished strongly to place last start.,3/2/6/3/8/3,3/2/6/3/8/3,9,B,B,,2,9,1005,1002,1003,N186,BA,CCW,122,1000-1600,22,1,5,1,70,3,9,11,1
2018-01-28,ST,1,1400,Form is improving. Drops in class and should improve.,11/12/13/8/13/,11/12/13/8/13/,5,B-,B,@,1,4,1036,1040,1016,A034,CML,TYS,131,1400-1600,3,0,0,0,5,0,0,0,2
2018-01-28,ST,1,1400,Z Purton onboard will help. Benefits from inside draw.,6/8/13/11/8/7,6/8/13/11/8/7,1,B,B,,2,4,1247,1240,1238,A318,PZ,FC,131,1200-1600,2,0,0,0,7,0,0,0,3
2018-01-28,ST,1,1400,2 wins under new trainer. Good record with M L Yeung.,1/1/6/8/7/7,1/1/6/8/7/7,7,A,A,,3,7,1092,1097,1075,T027,YML,LFC,129,1000-1400,10,0,1,0,34,3,4,1,4
2018-01-28,ST,1,1400,Chance in this company. Trialled well since stable change.,6/3/4/12/11/14,6/3/4/12/11/14,3,B,B-,,2,4,1185,1185,1167,A153,MG,CAS,130,1200-1400,7,0,0,1,10,0,0,1,5
2018-01-28,ST,1,1400,Hasn't shown much in his trackwork. Few positives so far.,7/10/9/8/9/11,7/10/9/8/9/11,12,C+,C,,4,4,1040,1060,1042,A151,RU,YPF,129,1400-1600,1,0,0,0,7,0,0,0,6
2018-01-28,ST,1,1400,Limited experience at this trip. Hasn't shown much so far.,5/4/12/11/9/9,5/4/12/11/9/9,10,C+,C+,,2,5,1105,1110,1113,A053,PMF,YCH,120,1200-1400,1,0,0,0,9,0,0,0,7
2018-01-28,ST,1,1400,Form is better than it looks. Eye-catching effort latest run.,5/6/4/12/13/10,5/6/4/12/13/10,14,B,B,,2,6,1188,1151,1175,T378,SCC,MA,127,1200-1400,5,0,0,0,12,0,0,0,8
2018-01-28,ST,1,1400,Not going well enough. Recent trackwork hasn't been good.,6/12/4/12/12/11,6/12/4/12/12/11,4,C+,C+,,2,5,1095,1111,1065,A185,SAA,SWY,126,1200-1400,1,0,0,0,11,0,0,0,9
2018-01-28,ST,1,1400,"Ignore latest run, trapped wide. Recent barrier trial offers hope.",9/9/8/5/3/8,9/9/8/5/3/8,2,B-,B,,2,6,1095,1086,1098,T023,CAN,HL,125,1200-1400,4,0,2,0,17,0,2,1,10
2018-01-28,ST,1,1400,Consistent form lately. Won with C Y Ho earlier this season.,2/1/3/3/2/11,2/1/3/3/2/11,8,B+,A-,,1,6,965,966,969,T022,HCY,LKW,119,1200-1650,8,0,1,3,22,1,2,4,11
2018-01-28,ST,1,1400,Has performed well under new trainer. Form is improving.,2/11/8/9/10/10,2/11/8/9/10/10,6,B+,B+,,3,4,1143,1138,1161,V305,LDE,GR,116,1000-1400,5,0,0,0,15,0,1,0,12
2018-01-28,ST,1,1400,Disappointing recent form. Drawn awkwardly in barrier 13.,9/6/10/12/3/4,9/6/10/12/3/4,13,C+,C+,,3,8,1044,1053,1060,P070,TEK,LAL,115,1400-2000,16,1,3,1,53,3,4,5,13
2018-01-28,ST,1,1400,Performed consistently last 2 races. Top class jockey will help.,4/4/7/2/3/7,4/4/7/2/3/7,11,B,B-,,3,7,1096,1091,1091,S202,MOJ,FD,115,1200-1650,5,0,0,1,31,0,5,4,14
2018-01-28,ST,2,2000,"Ignore latest run, travelled poorly. Z Purton retains the ride.",5/9/6/4/5/7,5/9/6/4/5/7,5,B,B-,,3,5,1095,1086,1082,V337,PZ,HL,133,1600-1800,1,0,0,0,10,0,0,0,1
2018-01-28,ST,2,2000,Goes well for U Rispoli. Form shows he's suited in this class.,9/1/6/11/5/5,9/1/6/11/5/5,7,B+,B,,2,5,1159,1159,1157,V378,RU,YCH,132,1800-2000,,,,,19,3,0,0,2
2018-01-28,ST,2,2000,Good record in Class 4. Returning to form.,8/12/1/4/1/1,8/12/1/4/1/1,4,B+,B+,,3,6,1143,1148,1142,V354,PMF,CCW,124,1600-2000,2,0,0,0,20,3,1,0,3
2018-01-28,ST,2,2000,Finished strongly to place last start. Solid form this season.,3/1/8/1/2/1,3/1/8/1/2/1,1,A,A,,3,7,1128,1106,1113,T187,MG,FC,131,1650-2200,5,1,0,2,37,4,1,3,4
2018-01-28,ST,2,2000,J Moreira has won on him before. Showed improvement last start.,5/11/11/9/6/4,5/11/11/9/6/4,6,B,B,,2,7,1148,1149,1148,P435,MOJ,FMJ,131,1200-2000,2,0,0,0,41,6,2,6,5
2018-01-28,ST,2,2000,"Ignore latest run, trapped wide. Good record over this distance.",9/1/9/8/6/1,9/1/9/8/6/1,8,B,B-,,4,7,1164,1145,1160,S131,TEK,LFC,129,1600-2000,4,1,0,0,36,5,2,2,6
2018-01-28,ST,2,2000,Performed consistently last 3 races. N Rawiller jumps onboard.,2/4/2/5/3/5,2/4/2/5/3/5,12,A-,A-,,3,7,1125,1122,1124,S147,RN,LAL,128,1650-2200,11,0,3,2,52,4,7,5,7
2018-01-28,ST,2,2000,Yet to recapture his best form. Disappointing recent trial.,4/5/9/1/7/7,4/5/9/1/7/7,13,C+,C+,,4,6,1111,1112,1099,T274,LDE,SWY,125,1200-1800,1,0,0,0,21,4,2,0,8
2018-01-28,ST,2,2000,C Y Ho keeps the ride. First time placed in HK last start.,3/11/11/7/7/14,3/11/11/7/7/14,14,B-,B-,,2,5,1103,1116,1104,A111,HCY,FC,122,1800-2000,1,0,0,0,15,0,0,1,9
2018-01-28,ST,2,2000,Has less weight to carry this time. Suited at this distance.,12/12/3/14/2/8,12/12/3/14/2/8,2,B-,B,,4,7,1134,1135,1131,T105,CML,SJJ,124,1650-2200,4,0,0,2,45,5,2,5,10
2018-01-28,ST,2,2000,"Impressive in recent barrier trial. Ignore latest run, trapped wide.",6/2/6/7/3/,6/2/6/7/3/,3,B,B,,2,4,1096,1111,1087,A333,BPC,SCS,123,1200-2000,,,,,5,0,1,1,11
2018-01-28,ST,2,2000,Benefits from a front-running profile. Chance in this company.,7/6/3/7/4/1,7/6/3/7/4/1,10,B,B-,,1,5,1089,1091,1076,V164,SAA,YCH,120,1200-2000,,,,,20,3,0,2,12
2018-01-28,ST,2,2000,Not much to go on so far. Limited experience at this trip.,12/12/11/12/13/12,12/12/11/12/13/12,11,C,C,,2,5,1063,1059,1043,A195,NGA,GR,116,1600-1800,1,0,0,0,9,0,0,0,13
2018-01-28,ST,2,2000,Latest run offers hope. Has performed well under new trainer.,2/4/8/3/6/7,2/4/8/3/6/7,9,B+,B+,,3,7,1014,1017,1016,S379,BA,LFC,116,1650-2000,1,0,0,0,35,1,2,3,14
2018-01-28,ST,3,1200,Trackwork below-par. Limited experience at this trip.,7/2/12///,7/2/12///,5,C+,C+,,2,4,1225,1225,1216,A323,BT,MA,133,1000-1400,1,0,0,0,3,0,1,0,1
2018-01-28,ST,3,1200,"Competitive in Class 4. Ignore latest run, travelled poorly.",6/1/6/3//,6/1/6/3//,6,B,B-,,2,4,1117,1114,1111,B002,RU,SJJ,132,1200-1200,3,1,0,1,4,1,0,1,2
