MeetingDate,MeetingVenue,RaceNo,Position,HorseNo,HorseName,JockeyName,WinOdds
2018-03-03,ST,1,1,4,COMPLACENCY,J Moreira,12.00
2018-03-03,ST,1,2,2,LUCKY VOLATILITY,Z Purton,2.70
2018-03-03,ST,1,3,13,KIWI SUNRISE,K Teetan,13.00
2018-03-03,ST,1,4,9,YEE CHEONG PEGASUS,M F Poon,8.70
2018-03-03,ST,2,1,3,YOU HAVE MY WORD,S Clipperton,82.00
2018-03-03,ST,2,2,5,KWAICHUNG BROTHERS,Z Purton,8.10
2018-03-03,ST,2,3,9,LE PEGASE,M L Yeung,9.50
2018-03-03,ST,2,4,12,GOLD TALENT,M Chadwick,14.00
2018-03-03,ST,3,1,2,PING HAI STAR,J Moreira,1.40
2018-03-03,ST,3,2,5,KINGSFIELD,U Rispoli,6.70
2018-03-03,ST,3,3,7,CIRCUIT GLORY,K Teetan,12.00
2018-03-03,ST,3,4,1,NEW ASIA SUNRISE,H T Mo,8.30
2018-03-03,ST,4,1,2,IRON BOY,D Whyte,8.10
2018-03-03,ST,4,2,8,SEVENTY SEVENTY,Z Purton,3.10
2018-03-03,ST,4,3,3,CHARMING BACHELOR,K Teetan,9.00
2018-03-03,ST,4,4,1,EIGHTY EIGHTY,J Moreira,4.10
2018-03-03,ST,5,1,11,TELECOM MAN,U Rispoli,12.00
2018-03-03,ST,5,2,2,LUCKY TIME,Z Purton,3.40
2018-03-03,ST,5,3,9,ENJOY LIFE,M L Yeung,7.50
2018-03-03,ST,5,4,1,ENORMOUS HONOUR,D Whyte,33.00
2018-03-03,ST,6,1,4,RAGING STORM,J Moreira,1.50
2018-03-03,ST,6,2,5,EMPIRE STAR,K Teetan,21.00
2018-03-03,ST,6,3,6,SUNNY POWER,C Y Ho,9.00
2018-03-03,ST,6,4,3,PLANET STAR,K C Leung,12.00
2018-03-03,ST,7,1,3,RUTHVEN,Z Purton,2.70
2018-03-03,ST,7,2,4,SERGEANT TITANIUM,J Moreira,4.00
2018-03-03,ST,7,3,9,PATRIOT HERO,U Rispoli,9.10
2018-03-03,ST,7,4,8,GOOD OMEN,D Whyte,8.10
2018-03-03,ST,8,1,4,JOLLY GENE,M F Poon,17.00
2018-03-03,ST,8,2,11,GENERAL DINO,K C Leung,13.00
2018-01-28,ST,1,1,11,GOLDEN CANNON,C Y Ho,NULL
2018-01-28,ST,1,2,4,WINNER ST PAUL'S,M L Yeung,NULL
2018-01-28,ST,1,3,1,WINNING BOY,A Badel,NULL
2018-01-31,HV,1,1,1,WINNING SUPREME,H N Wong,NULL
2018-01-31,HV,1,2,11,LUNAR ZEPHYR,J Moreira,NULL
2018-01-31,HV,1,3,7,PEACE COMBINATION,D Whyte,NULL
2018-01-31,HV,1,4,9,NASHASHUK,B Prebble,NULL
2018-01-31,HV,2,1,11,WONDERFUL CHASER,K C Leung,NULL
2018-01-31,HV,2,2,5,WINASWEWISH,J Moreira,NULL
2018-01-31,HV,2,3,2,SAVANNAH WIND,Z Purton,NULL
2018-01-31,HV,2,4,9,WEALTHY FORTUNE,C Y Ho,NULL
2018-01-31,HV,3,1,10,WIN FOR CHARITY,C Y Ho,NULL
2018-01-31,HV,3,2,12,MONEY WINNER,K C Ng,NULL
2018-01-31,HV,3,3,5,DARING HEART,N Callan,NULL
2018-01-31,HV,3,4,9,SUPER CLAN,T Berry,NULL
2018-01-31,HV,4,1,8,APPLAUSE,M Chadwick,NULL
2018-01-31,HV,4,2,4,DR PROACTIVE,M F Poon,NULL
2018-01-31,HV,4,3,12,THE SHOW,W M Lai,NULL
2018-01-31,HV,4,4,1,ZERO HEDGE,U Rispoli,NULL
2018-01-31,HV,5,1,1,DINOZZO,H N Wong,NULL
2018-01-31,HV,5,2,2,MARVEL HERO,J Moreira,NULL
2018-01-31,HV,5,3,5,CITRON SPIRIT,U Rispoli,NULL
2018-01-31,HV,5,4,4,THE GOLDEN AGE,M Chadwick,NULL
2018-01-31,HV,6,1,8,RAZOR QUEST,W M Lai,NULL
2018-01-31,HV,6,2,6,BULLISH SMART,J Moreira,NULL
2018-01-31,HV,6,3,12,PHOTON WILLIE,A Badel,NULL
2018-01-31,HV,6,4,3,GONNA RUN,N Rawiller,NULL
2018-01-31,HV,7,1,6,SUPER FLUKE,B Prebble,NULL
2018-01-31,HV,7,2,2,CALIFORNIA WHIP,J Moreira,NULL
2018-01-31,HV,7,3,10,E-SUPER,T Berry,NULL
